observation,term,coefficient,feature,contribution,abs_share
BEST_inner,beta_length,-0.39830548,1.12359551,-0.44753425,0.309931
BEST_inner,beta_shape,-0.71268732,0.00000000,-0.00000000,0.000000
BEST_inner,beta_source,0.14607627,5.74940700,+0.83985196,0.581622
BEST_inner,beta_zone,0.01969744,-1.00000000,-0.01969744,0.013641
BEST_inner,beta_trace,-0.13689794,1.00000000,-0.13689794,0.094806
BEST_outer,beta_length,-0.39830548,0.88397790,-0.35209324,0.241535
BEST_outer,beta_shape,-0.71268732,0.15321369,-0.10919345,0.074906
BEST_outer,beta_source,0.14607627,5.74940700,+0.83985196,0.576135
BEST_outer,beta_zone,0.01969744,1.00000000,+0.01969744,0.013512
BEST_outer,beta_trace,-0.13689794,1.00000000,-0.13689794,0.093911
BEST_ratio,beta_length,-0.39830548,-0.23961761,+0.09544101,0.391105
BEST_ratio,beta_shape,-0.71268732,0.15321369,-0.10919345,0.447460
BEST_ratio,beta_source,0.14607627,0.00000000,+0.00000000,0.000000
BEST_ratio,beta_zone,0.01969744,2.00000000,+0.03939488,0.161435
BEST_ratio,beta_trace,-0.13689794,0.00000000,-0.00000000,0.000000
GALLEX_Cr1,beta_length,-0.39830548,0.33898305,-0.13501881,0.086877
GALLEX_Cr1,beta_shape,-0.71268732,0.62070978,-0.44237199,0.284641
GALLEX_Cr1,beta_source,0.14607627,5.74940700,+0.83985196,0.540396
GALLEX_Cr1,beta_zone,0.01969744,0.00000000,+0.00000000,0.000000
GALLEX_Cr1,beta_trace,-0.13689794,1.00000000,-0.13689794,0.088086
GALLEX_Cr2,beta_length,-0.39830548,0.33898305,-0.13501881,0.086877
GALLEX_Cr2,beta_shape,-0.71268732,0.62070978,-0.44237199,0.284641
GALLEX_Cr2,beta_source,0.14607627,5.74940700,+0.83985196,0.540396
GALLEX_Cr2,beta_zone,0.01969744,0.00000000,+0.00000000,0.000000
GALLEX_Cr2,beta_trace,-0.13689794,1.00000000,-0.13689794,0.088086
GALLEX_combined,beta_length,-0.39830548,0.33898305,-0.13501881,0.086877
GALLEX_combined,beta_shape,-0.71268732,0.62070978,-0.44237199,0.284641
GALLEX_combined,beta_source,0.14607627,5.74940700,+0.83985196,0.540396
GALLEX_combined,beta_zone,0.01969744,0.00000000,+0.00000000,0.000000
GALLEX_combined,beta_trace,-0.13689794,1.00000000,-0.13689794,0.088086
SAGE_51Cr,beta_length,-0.39830548,1.39372822,-0.55512959,0.340903
SAGE_51Cr,beta_shape,-0.71268732,0.13544669,-0.09653114,0.059279
SAGE_51Cr,beta_source,0.14607627,5.74940700,+0.83985196,0.515749
SAGE_51Cr,beta_zone,0.01969744,0.00000000,+0.00000000,0.000000
SAGE_51Cr,beta_trace,-0.13689794,1.00000000,-0.13689794,0.084068
SAGE_37Ar,beta_length,-0.39830548,1.39372822,-0.55512959,0.306221
SAGE_37Ar,beta_shape,-0.71268732,0.13544669,-0.09653114,0.053249
SAGE_37Ar,beta_source,0.14607627,7.01196000,+1.02428100,0.565015
SAGE_37Ar,beta_zone,0.01969744,0.00000000,+0.00000000,0.000000
SAGE_37Ar,beta_trace,-0.13689794,1.00000000,-0.13689794,0.075516
